Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
87	H0E3S3	0.0001	32	4	0.1	1	1	99.log	1.0304	0.8194	0.7900	1.4704	0.5672	0.6512
145	H0E3S2	0.0001	64	2	0.2	1	2	102.log	1.1715	0.7708	0.7583	1.5329	0.5661	0.6430
129	H0E2S3	0.01	16	3	0.2	1	1	103.log	0.8338	0.9200	0.8857	1.3437	0.6896	0.6203
201	H0E3S2	0.0001	64	2	0.2	1	1	102.log	0.8712	0.9200	0.8857	1.4845	0.6832	0.6134
210	H0E2S2	0.001	32	4	0.1	1	1	102.log	1.2826	0.7222	0.7411	1.5248	0.6144	0.5569
108	H0E2S3	0.0001	64	2	0.2	1	1	103.log	0.9289	0.9200	0.8857	1.5695	0.7584	0.6547
205	H0E2S3	0.001	32	2	0.2	1	2	103.log	1.7448	0.7333	0.7260	2.4699	0.5433	0.5050
162	H0E0S3	0.001	32	2	0.2	0	1	102.log	0.9273	0.9200	0.8857	1.4920	0.7056	0.6274
186	H0E3S3	0.001	16	3	0.1	1	2	99.log	1.1307	0.8194	0.7902	1.4016	0.6272	0.6757
75	H0E3S3	0.01	16	3	0.2	1	1	99.log	0.9166	0.9200	0.8857	1.4828	0.7600	0.6552
90	H0E2S3	0.0001	32	4	0.2	1	0.5	103.log	0.8684	0.9200	0.8857	1.3858	0.6944	0.6222
137	H0E3S2	0.0001	64	3	0.2	1	1	102.log	0.8722	0.9200	0.8857	1.4666	0.7536	0.6526
18	H0E3S3	0.01	16	2	0.1	1	2	99.log	0.9504	0.9200	0.8857	1.4998	0.7072	0.6278
34	H0E2S1	0.001	32	3	0.1	1	1	100.log	1.3006	0.7222	0.7411	1.5561	0.5667	0.5579
179	H0E3S3	0.001	16	2	0.1	1	2	99.log	0.8712	0.9200	0.8857	1.4845	0.6832	0.6134
56	H0E3S3	0.001	32	3	0.1	1	0.5	99.log	1.0989	0.7847	0.7749	1.4896	0.5750	0.6559
