Graph Number,Distortion
146,6.714035981860796
47,2.714508239075756
39,6.009796727131188
27,2.410694739379024
126,7.107573190608898
121,6.5954277130458925
25,3.277691562384213
167,5.959341510859969
79,2.7584884704924564
174,6.914205529761077
48,6.512261252186977
90,4.619258359707484
144,5.965588677295076
210,10.977397866682573
128,11.618712283752776
209,6.690984043347309
63,5.965461853996894
131,3.3343111353387656
94,4.251129106748213
108,5.309828909567454
95,5.614892273543259
6,4.70096349842054
163,6.534001486088203
29,4.810153083427475
113,3.962790200637132
188,9.258765529035259
109,6.478871196814678
153,4.510958083496354
195,11.783825238545736
197,6.5971174831196295
179,7.777594817863717
76,6.101342921245486
187,5.578329520919875
26,5.376818469721975
70,3.0503498544017855
36,4.469885945024065
5,3.5127255142655405
98,5.626307760934653
152,6.930058593812331
136,5.3380240575967015
91,4.683888144755364
155,5.989619720038118
111,5.223988635612138
43,4.093530829888771
185,5.979680239208159
110,4.973496198476331
44,4.452010034720384
89,2.9038769415414816
41,6.747872604545972
182,6.246893459496263
141,3.4512780759024007
159,6.674749829172139
145,6.982709896990925
148,7.5582096070109275
18,3.032809823309343
164,6.541614470419234
135,2.8889734964570435
204,13.968132972717285
22,4.59096994577064
83,4.512547216466933
7,5.275161185259524
191,7.361970476660073
178,6.382659209720672
208,11.53064591544015
117,2.965069602602742
115,4.901123084731872
203,6.4459830098946
168,12.694876718521119
139,4.0400923252471035
21,6.285138742709826
138,4.4385708266549555
160,8.684471007437711
102,4.855548633858082
19,3.55132477579387
127,7.118113221092656
118,6.445569849121533
14,5.085525928859642
40,7.016984106598707
162,9.611009724934895
54,5.885876163823071
183,11.37370777130127
199,8.85712042308989
112,3.3769489395949996
158,8.185168626860445
166,6.232666332361635
73,5.211399883551784
190,7.128252451337981
170,6.348485486451972
80,7.360157398479736
49,8.500337785085042
130,4.816042655180956
207,13.945384979248047
37,3.0132874216978234
66,4.908045783953871
68,3.0411833715468464
142,2.8089059468377515
103,7.596160273338153
206,10.479145943676984
177,5.122097820750362
71,3.055263735665065
60,5.949977942952357
85,6.149742025954865
52,8.44891935900638
87,6.268459222946845
72,5.188288946208004
92,2.7387698517736077
101,5.6823562046086815
143,6.13088914639279
149,8.231184217089043
78,1.7703333131077021
147,5.628043426667493
196,14.693106333414713
169,4.1750974424649545
59,3.021151195751439
184,7.686745013313732
51,5.10523053474023
198,7.715654748073521
123,5.996052216167
33,2.5728668598609583
93,1.8969023050612857
100,7.005379539307877
88,3.0821788569940467
211,11.511530208587647
116,4.385511553204036
194,6.337849620788819
69,3.835593291196541
150,3.4961071305048455
124,5.096827099101571
189,6.911073789363954
12,3.018351144471811
9,1.5607276221640942
61,3.161467890885508
175,7.293418663708278
137,3.5635166902094126
176,3.389380363540004
65,4.669240950318876
77,3.5471841434781193
140,3.3804897350425627
64,7.503275768828428
45,6.462155406253117
74,4.534471270336473
192,5.370301888729388
11,1.746258859161241
20,1.7967809263736334
171,6.641463822465601
97,6.445994676146587
13,6.143844410478484
10,1.6506176348553168
15,6.707948628634604
24,2.5540960606265757
181,6.120404905051296
28,1.9627059046804682
81,5.191699199208385
156,6.347161224217916
58,6.094966883546531
57,4.943568162876683
157,7.155018858484796
84,3.556464689796211
17,4.086042129193141
120,6.983212842446207
46,1.7447905846876859
202,9.31680768330892
104,3.6643429763777804
38,6.757738261686015
205,7.622116186061585
4,7.602499672554997
2,5.982252699279611
35,4.01007884466299
56,3.8595648309786994
99,6.224694176290626
23,5.739291883795462
75,2.5926110898627366
173,6.236644646139701
180,5.853072687714366
32,3.2150197214297185
119,7.028828245411895
132,8.999359320080467
1,4.482586585380094
82,6.078133939723795
67,2.1394529140080385
105,5.890445571239252
165,8.637287728873513
55,5.513805073675379
154,6.704547786721935
34,3.016997060968075
133,3.250059476444209
125,9.936103403178695
172,4.137868791582561
42,6.278325456026813
134,4.326658154811055
62,2.449193545498025
122,4.496076396204283
16,6.4650064519695105
200,6.243590536463667
30,3.7059799228777663
31,1.9203558182327383
193,6.710959577686018
201,8.683446180820464
107,2.689358679318869
114,4.203444498435587
53,11.014845530192057
50,6.007821390751148
8,8.409278937180837
96,5.398866547569285
86,6.22040843475311
161,6.9336169782472945
0,4.073604150975573
129,7.3742918602373235
106,3.446258459823116
3,4.348635885303412
151,8.1683245910393
186,7.6033401790418145
