Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
88	H0E1S0	0.01	64	3	0.1	0	0	100.log	3.6280	0.3636	0.4245	3.8734	0.4953	0.4707
15	H0E1S0	0.01	16	2	0.2	1	0	100.log	3.0944	0.4311	0.4561	3.1574	0.4771	0.4617
198	H0E1S0	0.0001	16	2	0.2	1	0	100.log	2.2406	1.0000	1.0000	2.2473	0.5556	0.5889
89	H0E1S0	0.01	16	2	0.1	1	0	100.log	2.5509	0.5207	0.5049	2.3502	0.5696	0.5901
9	H0E1S0	0.0001	16	4	0.1	0	0	100.log	2.2530	0.6253	0.6100	2.2530	0.6313	0.6043
136	H0E1S0	0.01	32	4	0.1	1	0	100.log	1.7226	0.7200	0.7783	2.1400	0.4876	0.5216
96	H0E1S0	0.01	16	2	0.2	1	0	100.log	1.8342	0.7809	0.7967	2.3314	0.5194	0.5440
25	H0E1S0	0.01	32	3	0.1	1	0	100.log	1.6408	0.6864	0.6534	1.8576	0.5577	0.5462
98	H0E1S0	0.01	16	3	0.2	0	0	100.log	2.2537	1.0000	1.0000	2.2537	0.0000	0.3833
17	H0E1S0	0.01	64	2	0.2	0	0	100.log	2.8614	0.4860	0.5156	2.4029	0.6030	0.5673
84	H0E1S0	0.01	64	2	0.1	1	0	100.log	2.9028	0.4000	0.4465	2.0366	0.6077	0.5617
53	H0E1S0	0.01	16	3	0.2	1	0	100.log	3.1511	0.4693	0.5160	2.2891	0.5957	0.5489
133	H0E1S0	0.01	64	3	0.1	0	0	100.log	1.8518	0.9600	0.9667	3.2602	0.5702	0.6294
71	H0E1S0	0.01	64	2	0.1	1	0	100.log	2.6650	0.6798	0.7246	3.2070	0.5867	0.5936
174	H0E1S0	0.001	16	4	0.1	1	0	100.log	2.2524	0.6566	0.5938	2.2529	0.5284	0.5132
150	H0E1S0	0.001	16	4	0.2	1	0	100.log	2.2527	1.0000	1.0000	2.2528	0.4800	0.6857
7	H0E1S0	0.01	32	2	0.2	0	0	100.log	3.6283	0.5294	0.5465	3.1123	0.5534	0.5059
69	H0E1S0	0.0001	64	3	0.2	1	0	100.log	2.2400	1.0000	1.0000	2.2514	0.5556	0.5772
181	H0E1S0	0.0001	64	4	0.2	0	0	100.log	2.2536	1.0000	1.0000	2.2539	0.3333	0.6333
94	H0E1S0	0.01	64	2	0.2	1	0	100.log	2.6922	0.6939	0.6560	2.1992	0.7156	0.7618
