graph_num,val_roc,val_ap,test_roc,test_ap
576,0.602,0.7089,0.7985,0.7415
575,0.5625,0.6845,0.3457,0.4486
574,0.5625,0.6845,0.3457,0.4486
573,0.7333,0.7753,0.5722,0.5705
572,0,0.3655,0.537,0.5251
571,0.56,0.5944,0.71,0.6599
570,0.5,0.5833,0.75,0.7708
569,0.5,0.5833,0.75,0.7708
568,0.5,0.5833,0.64,0.8
567,0.5,0.5833,0.64,0.8
566,0,0.5,0.2222,0.4444
565,0.6944,0.6913,0.5562,0.5633
564,0.6944,0.6913,0.5562,0.5633
563,0.6944,0.6913,0.5562,0.5633
562,0.6944,0.6913,0.5562,0.5633
561,0.6944,0.6913,0.5562,0.5633
559,0.75,0.8333,0.5,0.6429
558,0.5,0.5833,0.52,0.5393
557,0.5556,0.573,0.6593,0.6866
556,0.5679,0.569,0.6399,0.6773
555,0.5679,0.569,0.6399,0.6773
554,0.8264,0.86,0.7769,0.7618
553,0.7778,0.8439,0.5586,0.609
552,0.7778,0.8439,0.5586,0.609
551,0.7778,0.8439,0.5586,0.609
550,0.7778,0.8439,0.5586,0.609
549,0.7778,0.8439,0.5586,0.609
548,0.7778,0.8439,0.5586,0.609
547,0.7778,0.8439,0.5586,0.609
546,0.7778,0.8439,0.5586,0.609
545,0.7778,0.8439,0.5586,0.609
544,0.7778,0.8439,0.5586,0.609
543,0.7778,0.8439,0.5586,0.609
542,0.74,0.7959,0.6327,0.6132
541,0.74,0.7959,0.6327,0.6132
540,0.74,0.7959,0.6327,0.6132
539,0.74,0.7959,0.6327,0.6132
538,0.74,0.7959,0.6327,0.6132
537,0.74,0.7959,0.6327,0.6132
536,0.74,0.7959,0.6327,0.6132
535,0.74,0.7959,0.6327,0.6132
534,0.74,0.7959,0.6327,0.6132
533,0.74,0.7959,0.6327,0.6132
532,0.74,0.7959,0.6327,0.6132
531,0.74,0.7959,0.6327,0.6132
530,0.74,0.7959,0.6327,0.6132
529,0.74,0.7959,0.6327,0.6132
528,0.74,0.7959,0.6327,0.6132
527,0.74,0.7959,0.6327,0.6132
526,0.74,0.7959,0.6327,0.6132
525,0.74,0.7959,0.6327,0.6132
524,0.74,0.7959,0.6327,0.6132
523,0.74,0.7959,0.6327,0.6132
522,0.74,0.7959,0.6327,0.6132
521,0.74,0.7959,0.6327,0.6132
520,0.74,0.7959,0.6327,0.6132
519,0.74,0.7959,0.6327,0.6132
518,0.56,0.653,0.6327,0.614
517,0.74,0.7959,0.6327,0.6132
516,0.6797,0.6464,0.5372,0.5683
515,0.74,0.7959,0.6327,0.6132
514,0.74,0.7959,0.6327,0.6132
513,0.74,0.7959,0.6327,0.6132
