graph_num,val_roc,val_ap,test_roc,test_ap
48,0.712,0.745,0.6593,0.6305
47,0.7166,0.7477,0.6587,0.6299
46,0.712,0.745,0.6593,0.6305
45,0.712,0.745,0.6593,0.6305
44,0.712,0.745,0.6593,0.6305
43,0.712,0.745,0.6593,0.6305
42,0.5913,0.5883,0.52,0.5779
41,0.5973,0.5885,0.5188,0.5748
40,0.7166,0.7477,0.6587,0.6299
39,0.5973,0.5885,0.5188,0.5748
38,0.7166,0.7477,0.6587,0.6299
37,0.7166,0.7477,0.6587,0.6299
36,0.7166,0.7477,0.6587,0.6299
35,0.5973,0.5885,0.5188,0.5748
34,0.5973,0.5885,0.5188,0.5748
33,0.5597,0.5456,0.5821,0.5499
32,0.7344,0.789,0.6332,0.6297
31,0.5597,0.5456,0.5821,0.5499
30,0.5597,0.5456,0.5821,0.5499
29,0.7056,0.6514,0.5055,0.4894
28,0.7056,0.6514,0.5055,0.4894
27,0.5597,0.5456,0.5821,0.5499
26,0.5597,0.5456,0.5821,0.5499
25,0.5597,0.5446,0.5901,0.5574
24,0.6967,0.6451,0.5026,0.4857
23,0.6967,0.6451,0.5028,0.4858
22,0.5597,0.5446,0.5901,0.5574
21,0.5597,0.5446,0.5901,0.5574
20,0.5597,0.5446,0.5901,0.5574
19,0.655,0.7014,0.56,0.5429
18,0.7344,0.789,0.6401,0.633
17,0.7344,0.789,0.6401,0.633
16,0.655,0.7014,0.56,0.5429
15,0.655,0.7014,0.56,0.5429
14,0.5597,0.5446,0.5901,0.5574
13,0.5597,0.5446,0.5901,0.5574
12,0.5597,0.5446,0.5901,0.5574
11,0.5597,0.5446,0.5901,0.5574
10,0.5597,0.5446,0.5901,0.5574
9,0.5597,0.5446,0.5901,0.5574
8,0.5597,0.5446,0.5901,0.5574
7,0.5597,0.5446,0.5901,0.5574
6,0.6747,0.7393,0.5597,0.5324
5,0.6747,0.7393,0.5597,0.5324
4,0.6747,0.7393,0.5597,0.5324
3,0.6747,0.7393,0.5597,0.5324
2,0.6747,0.7393,0.5597,0.5324
1,0.5544,0.5511,0.5306,0.5078
0,0.6747,0.7393,0.5597,0.5324
