Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
368	H3E3S0	0.0001	32	4	0.2	1	1	96.log	2.2536	0.6172	0.5996	2.2537	0.4513	0.4792
367	H3E2S2	0.01	32	2	0.2	1	1	98.log	1.0299	0.8542	0.8356	2.7407	0.7561	0.7868
366	H3E2S2	0.0001	64	4	0.1	1	1	98.log	2.1052	0.7604	0.7708	2.1078	0.6163	0.5889
365	H3E3S0	0.0001	64	4	0.2	0	1	96.log	2.2529	0.6307	0.6093	2.2533	0.4921	0.4976
364	H3E3S0	0.0001	16	4	0.1	1	1	96.log	2.2538	0.615	0.593	2.2538	0.443	0.4673
363	H3E3S0	0.0001	32	4	0.2	1	1	96.log	2.2537	0.6082	0.5918	2.2538	0.4579	0.4825
362	H3E3S0	0.0001	64	4	0.2	1	0.5	96.log	2.2538	0.6302	0.5929	2.2538	0.4626	0.4841
361	H3E0S3	0.001	16	4	0.1	1	0.5	96.log	2.1137	0.7743	0.768	2.1144	0.5304	0.5013
360	H3E3S0	0.01	64	4	0.2	1	2	96.log	4.6361	0.6108	0.6062	5.5099	0.4671	0.4781
359	H3E3S0	0.0001	16	4	0.1	0	2	96.log	2.2536	0.6182	0.6094	2.2537	0.4379	0.4636
358	H3E2S2	0.01	32	2	0.2	1	2	98.log	2.8455	0.6607	0.7221	1.9199	0.6251	0.5848
356	H3E1S2	0.001	64	4	0.2	1	0.5	96.log	2.1155	0.7951	0.8414	2.1155	0.6944	0.7323
355	H1E3S3	0.01	64	3	0.1	1	0.5	98.log	2.116	0.7708	0.7664	2.1161	0.678	0.6693
354	H1E3S3	0.01	64	4	0.2	1	1	98.log	3.401	0.6786	0.7342	1.9335	0.6786	0.645
353	H1E3S3	0.0001	32	4	0.2	1	0.5	98.log	1.0676	0.75	0.6999	1.9701	0.6372	0.5661
352	H1E3S3	0.0001	32	3	0.2	1	2	98.log	1.9015	0.6633	0.7857	1.9018	0.5498	0.5592
351	H1E3S3	0.001	16	2	0.1	1	1	98.log	2.1165	0.684	0.7786	2.1168	0.4557	0.4609
350	H2E1S3	0.01	32	4	0.2	1	0.5	96.log	1.3358	0.7031	0.7012	2.0515	0.4663	0.4721
349	H2E1S3	0.001	32	3	0.1	1	2	96.log	1.8235	0.5964	0.6941	1.9612	0.4977	0.5262
348	H3E1S3	0.01	64	3	0.2	1	0.5	98.log	2.1168	0.7778	0.7778	2.1169	0.6806	0.7045
347	H1E2S3	0.01	16	3	0.1	1	2	96.log	3.5297	0.657	0.6935	3.8024	0.5245	0.4955
346	H1E2S3	0.0001	16	3	0.2	1	0.5	96.log	2.1152	0.8472	0.9167	2.1152	0.73	0.7899
345	H1E2S3	0.001	16	4	0.1	1	0.5	96.log	2.1155	0.7847	0.7997	2.1156	0.5885	0.5645
344	H1E2S3	0.01	32	3	0.1	1	1	96.log	1.7036	0.6327	0.7301	1.7905	0.54	0.5562
343	H1E2S3	0.0001	64	2	0.2	1	1	96.log	2.1158	0.7813	0.7993	2.1158	0.612	0.5984
342	H1E2S3	0.0001	32	2	0.2	1	1	96.log	1.941	0.75	0.8123	1.9613	0.5764	0.5501
341	H1E2S3	0.0001	32	2	0.2	1	2	96.log	1.9844	0.6736	0.7636	2.1259	0.4149	0.4304
340	H1E3S1	0.0001	16	2	0.1	1	2	100.log	1.0549	0.8125	0.8161	2.7921	0.6146	0.5397
339	H3E3S0	0.001	64	2	0.2	1	0.5	96.log	2.2486	0.5448	0.5971	2.2458	0.57	0.5475
337	H3E2S2	0.0001	64	4	0.1	1	2	98.log	1.3764	0.7292	0.7665	3.962	0.4436	0.4488
336	H3E2S2	0.01	64	2	0.2	1	1	98.log	1.7743	0.7813	0.7967	1.8929	0.6806	0.697
335	H2E1S3	0.01	16	2	0.2	1	0.5	96.log	1.9442	0.6504	0.7096	1.9442	0.5068	0.5106
334	H3E2S2	0.001	32	3	0.2	1	1	98.log	2.1168	0.7778	0.7778	2.1169	0.6806	0.7045
333	H3E2S2	0.001	64	3	0.2	1	2	98.log	2.0557	0.6701	0.7513	2.0737	0.4479	0.4503
332	H3E2S2	0.001	64	2	0.2	1	2	98.log	1.5842	0.6597	0.6657	2.8399	0.4523	0.4558
331	H3E2S2	0.0001	64	4	0.2	1	2	98.log	1.9442	0.6699	0.7403	1.9442	0.4995	0.5002
330	H3E2S2	0.001	16	2	0.1	1	2	98.log	1.0299	0.8542	0.8356	2.7407	0.7561	0.7868
324	H3E2S2	0.0001	16	4	0.1	1	0.5	98.log	2.114	0.8194	0.8929	2.1143	0.6875	0.7711
323	H3E2S2	0.0001	32	4	0.1	1	1	98.log	1.7036	0.6327	0.7301	1.7905	0.54	0.5562
322	H3E2S2	0.0001	32	4	0.1	1	2	98.log	1.7036	0.6327	0.7301	1.7905	0.54	0.5562
321	H2E3S3	0.01	32	2	0.1	1	2	96.log	2.1157	0.7917	0.8069	2.1161	0.6719	0.6768
320	H3E2S2	0.01	64	3	0.2	1	2	98.log	2.1157	0.7917	0.8069	2.1161	0.6719	0.6768
319	H3E2S2	0.0001	32	2	0.2	1	0.5	98.log	2.1157	0.7917	0.8069	2.1161	0.6719	0.6768
317	H2E1S3	0.01	32	4	0.1	1	0.5	96.log	1.1763	0.75	0.7308	1.8418	0.5112	0.5176
316	H3E2S2	0.001	32	3	0.1	1	1	98.log	3.3957	0.6647	0.6999	3.8215	0.5123	0.4881
315	H3E2S2	0.001	32	3	0.2	1	1	98.log	2.1149	0.7917	0.8023	2.115	0.6528	0.6416
314	H3E2S2	0.01	64	4	0.1	1	0.5	98.log	1.9015	0.6633	0.7857	1.9018	0.5498	0.5592
313	H3E2S2	0.001	32	2	0.2	1	1	98.log	1.0691	0.7969	0.7317	2.4293	0.5752	0.5376
312	H3E2S2	0.01	16	2	0.2	1	0.5	98.log	1.9461	0.6387	0.715	1.9461	0.5059	0.5107
311	H3E2S2	0.0001	16	3	0.2	1	0.5	98.log	2.1157	0.7917	0.8069	2.1161	0.6719	0.6768
310	H3E2S2	0.0001	32	2	0.2	1	0.5	98.log	1.7846	0.7917	0.8417	1.9214	0.717	0.7789
309	H3E2S2	0.01	16	2	0.2	1	2	98.log	1.8145	0.7396	0.7354	1.8686	0.6111	0.5717
308	H3E2S2	0.01	32	2	0.1	1	1	98.log	2.114	0.6181	0.7168	2.1143	0.4661	0.475
307	H3E2S2	0.001	32	4	0.2	1	0.5	98.log	2.1174	0.7118	0.7857	2.1175	0.4887	0.4927
306	H3E2S2	0.01	16	2	0.1	1	2	98.log	2.0638	0.6701	0.76	2.0818	0.4627	0.4623
305	H3E2S2	0.001	64	2	0.2	1	1	98.log	1.9863	0.6389	0.7168	2.3484	0.4479	0.4534
304	H1E3S3	0.01	16	2	0.2	1	1	98.log	2.1173	0.8056	0.8278	2.1174	0.7205	0.8029
303	H3E3S3	0.0001	64	2	0.1	1	0.5	99.log	1.6476	0.6633	0.7386	1.7653	0.5473	0.5376
302	H3E3S3	0.0001	64	2	0.2	1	0.5	99.log	2.0875	0.66	0.67	2.0875	0.52	0.5165
