graph num,val_loss,val_roc,val_ap,test_loss,test_roc,test_ap
9,2.2536,0.5338,0.5274,2.2536,0.5288,0.5123
422,1.9084,0.5284,0.5595,1.8778,0.5288,0.5305
700,1.9796,0.5193,0.5362,1.9798,0.5288,0.5384
312,2.0191,0.5922,0.602,2.0187,0.5286,0.5414
337,2.0191,0.5922,0.602,2.0187,0.5286,0.5414
12,2.2536,0.5477,0.5434,2.2536,0.5286,0.5125
25,2.2536,0.5519,0.5442,2.2536,0.5284,0.512
237,1.9564,0.5191,0.5416,1.9193,0.5284,0.5117
20,2.2534,0.5378,0.5344,2.2532,0.5283,0.5111
48,1.9794,0.5469,0.5598,1.9791,0.5282,0.529
59,1.9366,0.569,0.5935,1.9832,0.528,0.5257
60,1.9025,0.5268,0.5398,1.9026,0.5275,0.5462
49,1.9812,0.5446,0.5512,1.9812,0.5272,0.5245
346,1.7776,0.5062,0.4894,1.7936,0.5272,0.5482
343,1.7776,0.5067,0.4914,1.7936,0.527,0.5444
587,1.9444,0.5684,0.677,1.9445,0.5269,0.5933
47,1.9812,0.5422,0.5483,1.9813,0.5269,0.5229
7,2.2536,0.534,0.5269,2.2536,0.5267,0.5102
281,1.9346,0.5204,0.5359,1.9277,0.5266,0.5177
96,2.1169,0.5173,0.5205,2.1171,0.5264,0.5184
846,1.8986,0.5969,0.653,1.8991,0.5261,0.5249
81,2.0487,0.5298,0.5379,2.0487,0.5261,0.524
19,2.02,0.5618,0.5896,2.02,0.526,0.5286
137,1.8423,0.4918,0.5012,1.8405,0.526,0.5169
451,1.8576,0.5215,0.5205,1.8646,0.5256,0.5218
265,2.0112,0.5168,0.5373,1.9393,0.5251,0.5071
45,1.9811,0.5453,0.5594,1.9812,0.525,0.5202
61,2.0124,0.5792,0.5946,2.0164,0.5246,0.5355
79,2.0487,0.5216,0.5252,2.0487,0.5244,0.521
568,1.9751,0.5139,0.5967,1.9776,0.5244,0.527
43,1.9784,0.5454,0.5579,1.9779,0.5243,0.5211
316,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
315,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
314,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
310,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
306,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
323,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
336,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
334,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
308,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
309,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
331,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
330,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
324,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
332,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
52,1.8956,0.5248,0.5716,1.8912,0.5239,0.5197
548,1.9459,0.5345,0.5945,1.9457,0.5237,0.5357
552,1.9459,0.5345,0.5945,1.9457,0.5237,0.5357
551,1.9459,0.5345,0.5945,1.9457,0.5237,0.5357
219,1.9333,0.5161,0.5275,1.9171,0.5231,0.5144
76,2.0444,0.5235,0.5289,2.0445,0.523,0.5203
452,1.858,0.5179,0.5188,1.8654,0.523,0.5198
14,2.2536,0.5284,0.5209,2.2536,0.5229,0.5064
438,2.0192,0.5301,0.5464,2.0188,0.5227,0.5234
437,2.0192,0.5301,0.5464,2.0188,0.5227,0.5234
77,2.045,0.5212,0.525,2.0451,0.5227,0.5202
520,1.9804,0.5348,0.5455,1.9804,0.5218,0.5311
653,1.9454,0.5503,0.6176,1.9452,0.5215,0.5312
654,1.9454,0.5503,0.6176,1.9452,0.5215,0.5312
286,1.9463,0.5338,0.545,1.9458,0.5214,0.5258
44,1.9808,0.5478,0.5608,1.9807,0.5213,0.5136
78,2.0487,0.5216,0.5247,2.0487,0.5212,0.5158
80,2.0481,0.5252,0.5358,2.0481,0.5211,0.5161
557,1.9717,0.5128,0.5314,1.9706,0.5211,0.5302
311,2.0189,0.5954,0.6106,2.0184,0.5207,0.5282
322,2.0189,0.5954,0.6106,2.0184,0.5207,0.5282
16,2.0199,0.5592,0.5861,2.02,0.5204,0.518
550,1.9459,0.531,0.5697,1.9457,0.5202,0.5275
543,1.9459,0.531,0.5697,1.9457,0.5202,0.5275
46,1.9812,0.5484,0.5594,1.9813,0.52,0.5115
580,1.9845,0.4097,0.4765,1.9731,0.52,0.5063
307,2.0194,0.5623,0.5784,2.0193,0.5198,0.5189
517,1.9803,0.538,0.5533,1.9803,0.5196,0.5219
345,1.8439,0.4908,0.4886,1.8436,0.5195,0.536
82,2.0417,0.5196,0.5219,2.0418,0.5194,0.5155
21,2.2536,0.5399,0.5326,2.2536,0.5193,0.5027
549,1.9455,0.5286,0.5574,1.9453,0.5191,0.5285
546,1.9455,0.5286,0.5574,1.9453,0.5191,0.5285
553,1.9455,0.5286,0.5574,1.9453,0.5191,0.5285
544,1.9455,0.5286,0.5574,1.9453,0.5191,0.5285
556,1.9388,0.5149,0.5276,1.9163,0.5188,0.5244
409,1.9435,0.5039,0.5604,1.939,0.5186,0.5214
505,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
