Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
265	H3E3S3	0.001	16	4	0.2	1	2	99.log	1.9791	0.6806	0.7883	1.9800	0.4650	0.4695
342	H1E2S3	0.0001	64	3	0.1	1	2	96.log	2.0063	0.7569	0.8329	2.0523	0.6337	0.6010
500	H2E3S2	0.001	32	4	0.2	1	2	98.log	2.0856	0.8200	0.8853	2.0871	0.3962	0.4310
407	H3E0S2	0.0001	64	4	0.2	1	1	100.log	1.7082	0.6658	0.7340	1.8617	0.4343	0.4554
537	H3E3S3	0.001	32	3	0.1	1	2	99.log	1.0518	0.8611	0.8681	1.2327	0.7118	0.6042
138	H0E3S2	0.0001	16	4	0.2	1	1	100.log	1.1280	0.8681	0.8806	1.3019	0.7196	0.6726
226	H3E3S3	0.01	32	3	0.1	1	1	99.log	2.2539	0.6910	0.6380	2.2539	0.5312	0.5349
323	H3E2S2	0.01	32	3	0.2	1	1	98.log	1.4204	0.8403	0.8564	1.4013	0.6927	0.6007
313	H3E2S2	0.01	16	2	0.2	1	0.5	98.log	1.8974	0.7543	0.7935	1.8948	0.6075	0.5757
567	H2E2S2	0.001	16	3	0.2	1	2	96.log	1.6958	0.8400	0.8911	2.1150	0.4275	0.4557
87	H3E3S0	0.001	64	3	0.2	0	2	96.log	2.3716	0.6339	0.6356	2.5223	0.5108	0.5089
274	H3E3S3	0.0001	64	3	0.2	1	0.5	99.log	2.2526	0.6940	0.7672	2.2533	0.5681	0.5655
270	H3E3S3	0.0001	64	2	0.1	0	0.5	99.log	1.9008	0.6735	0.7594	1.9041	0.4461	0.4555
254	H3E3S3	0.0001	32	3	0.2	1	1	99.log	1.8917	0.7500	0.7625	4.2841	0.4146	0.4346
247	H3E3S3	0.01	32	4	0.1	1	0.5	99.log	2.2529	0.7296	0.6942	2.2534	0.5883	0.5624
336	H3E2S2	0.01	64	2	0.1	0	2	98.log	2.2601	0.7007	0.6423	2.2510	0.6010	0.5566
373	H2E3S3	0.001	64	3	0.2	1	2	96.log	1.4896	0.7219	0.7026	2.1058	0.4278	0.4549
14	H3E3S0	0.0001	32	4	0.2	1	1	96.log	2.2538	0.6520	0.6124	2.2538	0.5664	0.5444
